id,plan,age,gender,is_smoker,is_waiver,price
1,warisangold,1,male,No,No,143
2,warisangold,1,male,Yes,No,143
3,warisangold,1,female,No,No,141
4,warisangold,1,female,Yes,No,141
5,warisangold,1,male,No,Yes,187
6,warisangold,1,male,Yes,Yes,187
7,warisangold,1,female,No,Yes,185
8,warisangold,1,female,Yes,Yes,185
9,warisangold,2,male,No,No,110
10,warisangold,2,male,Yes,No,110
11,warisangold,2,female,No,No,108
12,warisangold,2,female,Yes,No,108
13,warisangold,2,male,No,Yes,151
14,warisangold,2,male,Yes,Yes,151
15,warisangold,2,female,No,Yes,149
16,warisangold,2,female,Yes,Yes,149
17,warisangold,3,male,No,No,100
18,warisangold,3,male,Yes,No,100
19,warisangold,3,female,No,No,100
20,warisangold,3,female,Yes,No,100
21,warisangold,3,male,No,Yes,124
22,warisangold,3,male,Yes,Yes,124
23,warisangold,3,female,No,Yes,121
24,warisangold,3,female,Yes,Yes,121
25,warisangold,4,male,No,No,100
26,warisangold,4,male,Yes,No,100
27,warisangold,4,female,No,No,100
28,warisangold,4,female,Yes,No,100
29,warisangold,4,male,No,Yes,120
30,warisangold,4,male,Yes,Yes,120
31,warisangold,4,female,No,Yes,120
32,warisangold,4,female,Yes,Yes,120
33,warisangold,5,male,No,No,100
34,warisangold,5,male,Yes,No,100
35,warisangold,5,female,No,No,100
36,warisangold,5,female,Yes,No,100
37,warisangold,5,male,No,Yes,120
38,warisangold,5,male,Yes,Yes,120
39,warisangold,5,female,No,Yes,120
40,warisangold,5,female,Yes,Yes,120
41,warisangold,6,male,No,No,100
42,warisangold,6,male,Yes,No,100
43,warisangold,6,female,No,No,100
44,warisangold,6,female,Yes,No,100
45,warisangold,6,male,No,Yes,120
46,warisangold,6,male,Yes,Yes,120
47,warisangold,6,female,No,Yes,120
48,warisangold,6,female,Yes,Yes,120
49,warisangold,7,male,No,No,100
50,warisangold,7,male,Yes,No,100
51,warisangold,7,female,No,No,100
52,warisangold,7,female,Yes,No,100
53,warisangold,7,male,No,Yes,120
54,warisangold,7,male,Yes,Yes,120
55,warisangold,7,female,No,Yes,120
56,warisangold,7,female,Yes,Yes,120
57,warisangold,8,male,No,No,100
58,warisangold,8,male,Yes,No,100
59,warisangold,8,female,No,No,100
60,warisangold,8,female,Yes,No,100
61,warisangold,8,male,No,Yes,120
62,warisangold,8,male,Yes,Yes,120
63,warisangold,8,female,No,Yes,120
64,warisangold,8,female,Yes,Yes,120
65,warisangold,9,male,No,No,100
66,warisangold,9,male,Yes,No,100
67,warisangold,9,female,No,No,100
68,warisangold,9,female,Yes,No,100
69,warisangold,9,male,No,Yes,120
70,warisangold,9,male,Yes,Yes,120
71,warisangold,9,female,No,Yes,120
72,warisangold,9,female,Yes,Yes,120
73,warisangold,10,male,No,No,100
74,warisangold,10,male,Yes,No,100
75,warisangold,10,female,No,No,100
76,warisangold,10,female,Yes,No,100
77,warisangold,10,male,No,Yes,120
78,warisangold,10,male,Yes,Yes,120
79,warisangold,10,female,No,Yes,120
80,warisangold,10,female,Yes,Yes,120
81,warisangold,11,male,No,No,100
82,warisangold,11,male,Yes,No,100
83,warisangold,11,female,No,No,100
84,warisangold,11,female,Yes,No,100
85,warisangold,11,male,No,Yes,120
86,warisangold,11,male,Yes,Yes,120
87,warisangold,11,female,No,Yes,120
88,warisangold,11,female,Yes,Yes,120
89,warisangold,12,male,No,No,100
90,warisangold,12,male,Yes,No,100
91,warisangold,12,female,No,No,100
92,warisangold,12,female,Yes,No,100
93,warisangold,12,male,No,Yes,120
94,warisangold,12,male,Yes,Yes,120
95,warisangold,12,female,No,Yes,120
96,warisangold,12,female,Yes,Yes,120
97,warisangold,13,male,No,No,100
98,warisangold,13,male,Yes,No,100
99,warisangold,13,female,No,No,100
100,warisangold,13,female,Yes,No,100
101,warisangold,13,male,No,Yes,120
102,warisangold,13,male,Yes,Yes,120
103,warisangold,13,female,No,Yes,120
104,warisangold,13,female,Yes,Yes,120
105,warisangold,14,male,No,No,100
106,warisangold,14,male,Yes,No,100
107,warisangold,14,female,No,No,100
108,warisangold,14,female,Yes,No,100
109,warisangold,14,male,No,Yes,120
110,warisangold,14,male,Yes,Yes,120
111,warisangold,14,female,No,Yes,120
112,warisangold,14,female,Yes,Yes,120
113,warisangold,15,male,No,No,100
114,warisangold,15,male,Yes,No,100
115,warisangold,15,female,No,No,100
116,warisangold,15,female,Yes,No,100
117,warisangold,15,male,No,Yes,120
118,warisangold,15,male,Yes,Yes,120
119,warisangold,15,female,No,Yes,120
120,warisangold,15,female,Yes,Yes,120
121,warisangold,16,male,No,No,100
122,warisangold,16,male,Yes,No,100
123,warisangold,16,female,No,No,100
124,warisangold,16,female,Yes,No,100
125,warisangold,16,male,No,Yes,120
126,warisangold,16,male,Yes,Yes,120
127,warisangold,16,female,No,Yes,120
128,warisangold,16,female,Yes,Yes,120
