plan_type,plan_value,svp,is_booster,hospital_room_board,annual_limit,lifetime_limit,outpatient_infectious_disease,additional_annual_limit_critical_conditions,outpatient_cancer_dialysis,govt_hospital_allowance,outpatient_accident_treatment,maternity,mental
medic_protector,Plan 150,,TRUE,RM 150 per day,"RM1,150,000",Unlimited,"RM 1,500 per disease","RM150,000","RM1,500,000",RM 50 per day,As charged,Not Available,Not Available
medic_protector,Plan 150,,FALSE,RM 150 per day,"RM150,000",Unlimited,"RM 1,500 per disease","RM150,000","RM750,000",RM 50 per day,"RM1,500",Not Available,Not Available
medic_protector,Plan 200,,TRUE,RM 200 per day,"RM1,200,000",Unlimited,"RM 2,000 per disease","RM200,000","RM2,000,000",RM 100 per day,As charged,Not Available,Not Available
medic_protector,Plan 200,,FALSE,RM 200 per day,"RM200,000",Unlimited,"RM 2,000 per disease","RM200,000","RM1,000,000",RM 100 per day,"RM1,500",Not Available,Not Available
medic_protector,Plan 250,,TRUE,RM 250 per day,"RM1,250,000",Unlimited,"RM 2,500 per disease","RM250,000","RM2,500,000",RM 150 per day,As charged,As charged,"RM5,000"
medic_protector,Plan 250,,FALSE,RM 250 per day,"RM250,000",Unlimited,"RM 2,500 per disease","RM250,000","RM1,250,000",RM 150 per day,"RM2,000","RM4,000","RM5,000"
medic_protector,Plan 300,,TRUE,RM 300 per day,"RM1,300,000",Unlimited,"RM 3,000 per disease","RM300,000","RM3,000,000",RM 150 per day,As charged,As charged,"RM5,000"
medic_protector,Plan 300,,FALSE,RM 300 per day,"RM300,000",Unlimited,"RM 3,000 per disease","RM300,000","RM1,500,000",RM 150 per day,"RM2,000","RM6,000","RM5,000"
medic_protector,Plan 400,,TRUE,RM 400 per day,"RM1,400,000",Unlimited,"RM 4,000 per disease","RM400,000","RM4,000,000",RM 200 per day,As charged,As charged,"RM5,000"
medic_protector,Plan 400,,FALSE,RM 400 per day,"RM400,000",Unlimited,"RM 4,000 per disease","RM400,000","RM2,000,000",RM 200 per day,"RM3,000","RM10,000","RM5,000"
asas360_health,200,"1,000,000",,RM 200 per day,Unlimited,Unlimited,"RM 2,000 per disease",Unlimited,"RM1,500,000",RM 100 per day,"RM2,000",Not Available,Not Available
asas360_health,300,"1,000,000",,RM 300 per day,Unlimited,Unlimited,"RM 2,000 per disease",Unlimited,"RM1,500,000",RM 100 per day,"RM3,000",Not Available,"RM5,000"
asas360_health,400,"1,000,000",,RM 400 per day,Unlimited,Unlimited,"RM 2,000 per disease",Unlimited,"RM1,500,000",RM 100 per day,"RM4,000",Not Available,"RM5,000"
asas360_health,500,"1,000,000",,RM 500 per day,Unlimited,Unlimited,"RM 2,000 per disease",Unlimited,"RM1,500,000",RM 100 per day,"RM5,000",Not Available,"RM5,000"
asas360_health,"1,000","1,000,000",,"RM 1,000 per day",Unlimited,Unlimited,"RM 2,000 per disease",Unlimited,"RM1,500,000",RM 100 per day,"RM10,000",Not Available,"RM5,000"
asas360_health,200,"2,000,000",,RM 200 per day,Unlimited,Unlimited,"RM 2,000 per disease",Unlimited,"RM3,000,000",RM 100 per day,"RM2,000",Not Available,Not Available
asas360_health,300,"2,000,000",,RM 300 per day,Unlimited,Unlimited,"RM 2,000 per disease",Unlimited,"RM3,000,000",RM 100 per day,"RM3,000",Not Available,"RM5,000"
asas360_health,400,"2,000,000",,RM 400 per day,Unlimited,Unlimited,"RM 2,000 per disease",Unlimited,"RM3,000,000",RM 100 per day,"RM4,000",Not Available,"RM5,000"
asas360_health,500,"2,000,000",,RM 500 per day,Unlimited,Unlimited,"RM 2,000 per disease",Unlimited,"RM3,000,000",RM 100 per day,"RM5,000",Not Available,"RM5,000"
asas360_health,"1,000","2,000,000",,"RM 1,000 per day",Unlimited,Unlimited,"RM 2,000 per disease",Unlimited,"RM3,000,000",RM 100 per day,"RM10,000",Not Available,"RM5,000"
asas360_health,200,"5,000,000",,RM 200 per day,Unlimited,Unlimited,"RM 2,000 per disease",Unlimited,"RM7,500,000",RM 100 per day,"RM2,000",Not Available,Not Available
asas360_health,300,"5,000,000",,RM 300 per day,Unlimited,Unlimited,"RM 2,000 per disease",Unlimited,"RM7,500,000",RM 100 per day,"RM3,000",Not Available,"RM5,000"
asas360_health,400,"5,000,000",,RM 400 per day,Unlimited,Unlimited,"RM 2,000 per disease",Unlimited,"RM7,500,000",RM 100 per day,"RM4,000",Not Available,"RM5,000"
asas360_health,500,"5,000,000",,RM 500 per day,Unlimited,Unlimited,"RM 2,000 per disease",Unlimited,"RM7,500,000",RM 100 per day,"RM5,000",Not Available,"RM5,000"
asas360_health,"1,000","5,000,000",,"RM 1,000 per day",Unlimited,Unlimited,"RM 2,000 per disease",Unlimited,"RM7,500,000",RM 100 per day,"RM10,000",Not Available,"RM5,000"
